config_hash,log_prime_sse,sse_null_phase_scramble,sse_null_target_shuffle,pcs,pli,ic,c4_contrast,ablated_c4_contrast,j_info_mean,grad_phase_var,max_amp_peak,clamp_fraction_mean,omega_sat_mean
a9cc7118702b771a7bfd1414914e91159b0ffae1b975586142adbe7f593f90cc,6.53872226446044,7.19951202354162,5.43615062289147,0.000661339843645692,1.0,1.0,4.4420657361296e+17,1.75921600636479e+15,26423386.0,175.509811401367,117.660919189453,1.0,0.0
74475df1131c26c443cc1babcb5ff7a04a890acc6411bd475a4ca38481e37985,6.54199860318567,7.81015032160828,5.50958193009947,0.00064163887873292,1.0,1.0,4.44710264913145e+17,1.75921600636479e+15,26446716.0,175.14875793457,115.24397277832,1.0,0.0
aa701cc628b2aa871126f8d6e1cdec8b6f5466d41ea483120e2a8ec5c11e3170,6.5468130643347,6.72884172891736,6.54310527381414,0.00274198618717492,1.0,1.0,4.44913749488754e+17,1.75921600636479e+15,26452196.0,175.732604980469,114.649429321289,1.0,0.0
e41e9c7965f6c803745ed0d72e35ca304f5b5c1d84c3240d2f5fd240a9426a22,6.55199344845513,6.9835424716606,5.58907577497195,0.00418447097763419,1.0,1.0,4.45662168943479e+17,1.75921600636479e+15,26490046.0,173.434417724609,113.203437805176,1.0,0.0
b52a38466ec7d834cc98486c97aba4f0b8f4480f0746f2833e8d7c6c87306a3d,6.55735577029948,7.4333227277623,6.52749911378715,0.00287610455416143,1.0,1.0,4.45576813138651e+17,1.75921600636479e+15,26480942.0,172.685440063477,114.878623962402,1.0,0.0
9665afe2067aff27e4de7b2395c6dca3e0f390f10c649901469304b5bf2f7d78,6.5578262490903,6.5095679776305,5.69863408004622,0.00169386703055352,1.0,1.0,4.45894123492324e+17,1.75921600636479e+15,26503114.0,173.466781616211,114.304893493652,1.0,0.0
d867be9312d81e56de1e066ff32f81aef8fc06096c3066706c23c117939d1a73,6.55994121703892,5.86355762845777,5.6616884100836,0.000511058024130762,1.0,1.0,4.46651825463498e+17,1.75921600636479e+15,26532096.0,172.743637084961,112.174156188965,1.0,0.0
4cbd5bacf87ef9b49bd65ba50a5154795053a26003b51b97cbc5a5e4b2402569,6.57255444260492,6.54911826726807,5.91905517694393,0.00255985208787024,1.0,1.0,4.44494629177337e+17,1.75921600636479e+15,26280300.0,268.010772705078,10309.21484375,0.999999165534973,0.0
7f5c947d222f982dad82f040c3ab27555c79790b0022749f95ab8638de515c6c,6.57661936350524,7.60030542845544,5.79497033268883,0.0017303959466517,1.0,1.0,4.45733452129946e+17,1.75921600636479e+15,26503100.0,174.743927001953,114.400032043457,1.0,0.0
930bc4672813d3b374beb9f0274deeca2c6dafd59cb99d79015da7c801798096,6.57691909262661,7.08797888328043,5.74291089190849,0.00118140294216573,1.0,1.0,4.45629991374193e+17,1.75921600636479e+15,26485828.0,173.26904296875,113.847045898438,1.0,0.0
5671ddb19c577100ebcf3bd801430575921b52599e1a42f9e2a34402bef2393a,6.57914555123554,5.45953770277821,6.51626143805711,0.00208553462289274,1.0,1.0,4.47367877906018e+17,1.75921600636479e+15,26569616.0,171.501693725586,111.515617370605,1.0,0.0
db40e9222581530a7a7be83df4d36d242ec1b2e928c44cf5366a88920cd078c9,6.58236064651071,6.99201306743927,6.42606252623578,7.88675170042552e-05,1.0,1.0,4.46622354161133e+17,1.75921600636479e+15,26535554.0,172.552001953125,112.335273742676,1.0,0.0
9a36eb243323ff671b0722b0e45e85bd54125e156db0d31fc6478e6827531a8e,6.58813887665585,6.66508282442664,5.93513156231472,0.00232244213111699,1.0,1.0,4.45621277179332e+17,1.75921600636479e+15,26485518.0,173.074493408203,113.329788208008,1.0,0.0
16a71ce358d8db138a97fc79ad078f3a790fa729bbf55e2f7aab23c835140a72,6.59033056859372,6.1179003660411,5.502806455316,0.00161234475672245,1.0,1.0,4.47129563599023e+17,1.75921600636479e+15,26573044.0,173.773223876953,112.237121582031,1.0,0.0
7605b9cf8d7f3dfb722ed5ce0b60af62f0c4438967a08f26d427688bd00d189d,6.59849011205448,7.00041701561874,6.32584148325952,0.00214208196848631,1.0,1.0,4.45603036909201e+17,1.75921600636479e+15,26482912.0,172.879959106445,114.589416503906,1.0,0.0
72683179c6da87e95083a02339d7250427f802ad44de1b342333ac0c270fe70a,6.60987030826019,7.08862461493249,5.83861781165348,0.00258519477210939,1.0,1.0,4.4748633141961e+17,1.75921600636479e+15,26575674.0,171.426773071289,111.831420898438,1.0,0.0
88ba5d7d4029744489e790c3369ad3a952dcebea209f2df1b843e5da15d1feef,6.61163972174174,7.89831268073213,5.93772016118069,0.0023467568680644,1.0,1.0,4.43976188693609e+17,1.75921600636479e+15,26418162.0,176.676208496094,116.639137268066,1.0,0.0
41f2f6e0eac813c89af5358ea2e0ab3b98d2f533e9f87ccde5b9bbf449b6c17a,6.62536466862595,6.43120781949647,5.46425429309742,0.00034177559427917,1.0,1.0,4.41102939980909e+17,1.75921600636479e+15,26265504.0,181.37451171875,120.671463012695,1.0,0.0
08bb13e2e264317060169bdef6db7cd5b5cb1bcda6207c63a18e76485394b2bd,6.63973978486807,8.2622474532481,5.8689232852875,0.00315100373700261,1.0,1.0,4.44019678495295e+17,1.75921600636479e+15,26408078.0,174.948013305664,115.828903198242,1.0,0.0
19bcbf1fc2a1c883732f4f443bfaeb0e0d3802f3b8eb6584ce4b5c3bfe4defa5,6.64151742100752,5.66236892769308,5.73527036777509,0.000756755121983588,1.0,1.0,4.45774100336977e+17,1.75921600636479e+15,26501548.0,174.235443115234,113.845390319824,1.0,0.0
2a08cb8053a2a3064a1d8068aa18f96caf545cf6666486140c7692c03fd30a74,6.64218088620958,6.76266285741353,5.83728600645506,0.00181502848863602,1.0,1.0,4.46151571125068e+17,1.75921600636479e+15,26514796.0,173.220718383789,113.195266723633,1.0,0.0
e7ad7f66b2f0c820b7ade3d205ec28fb4e1f24522a7839ce95b46e427b2ceb60,6.64752141982268,7.23236237230651,5.91538165865478,7.30172905605286e-05,1.0,1.0,4.4555310619872e+17,1.75921600636479e+15,26477374.0,172.888671875,113.64720916748,1.0,0.0
32adc328d94c397b91ce02d9ab6ce0e31412787a4a4260fa96371a267da74884,6.65738786490971,6.96182738174461,6.73713204974487,0.00210488867014647,1.0,1.0,4.45575893004751e+17,1.75921600636479e+15,26478366.0,174.44108581543,113.58048248291,1.0,0.0
2ad1dff179de34aa64dade719639cc51bb08b92e64c6b4b2f698dca6dcbec01c,6.65985471733652,7.34459810574931,5.34214171698081,0.00089510518591851,1.0,1.0,4.40885626347799e+17,1.75921600636479e+15,26271340.0,179.992050170898,120.800964355469,1.0,0.0
bef1e0b1b6e954174d15db9a7f7ce0d633fea007334bbe8f547c5a98460e9a0d,6.67169847797592,8.30665642414014,5.73874222894916,5.86469686822966e-05,1.0,1.0,4.4574116499879e+17,1.75921600636479e+15,26508340.0,175.502334594727,115.001258850098,1.0,0.0
c0e47dee9159be68dfa1e0bd289ad073e53bee7f1384405cd02cafa65fa06230,6.67924385848324,7.47902563421112,6.13488581811765,0.000216321714106016,1.0,1.0,4.45734669946975e+17,1.75921600636479e+15,26507528.0,175.402923583984,114.161254882813,1.0,0.0
184af709257d529249d0384fdbf37c25a5499c6e4161aa5198634876eeeee65d,6.68660694838434,7.69453463165718,5.888373348555,0.000118646596092731,1.0,1.0,4.44438257541035e+17,1.75921600636479e+15,26431172.0,174.938278198242,115.152229309082,1.0,0.0
6d91d9291d345351af93800266dd09906634d45fac9ca37f1c867c0d870c24d0,6.68780684697525,7.91078030703936,5.32061241281291,0.00166901282500476,1.0,1.0,3.96791671826962e+17,1.75921600636479e+15,25918776.0,514.137268066406,13755.18359375,0.999998450279236,0.0
d00dae90e4231b2174e59afc5084e4ea29db818c85cbebf9173b05c4df63b2dc,6.69012138572401,7.13869443383654,5.24509338334061,0.000504329917021096,1.0,1.0,4.46251973802486e+17,1.75921600636479e+15,26524696.0,173.794982910156,112.297180175781,1.0,0.0
f0230c3b1f0a8ca77114cf24fc5557e703462a426ad4639a62faedb37028e242,6.69088468290593,7.59756601970248,5.39833415609304,0.00118709763046354,1.0,1.0,4.44936509234445e+17,1.75921600636479e+15,26456024.0,174.384979248047,114.478584289551,1.0,0.0
